DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
AAAF 22X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 22X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 22X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 42X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 42X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 42X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 10X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 10X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 10X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 15X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 15X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 15X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 22XM26X1.5;CONEXAO;;;;Analise Tecnica
AAAF 25X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 25X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 42X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 42XM48X2;CONEXAO;;;;Analise Tecnica
AAAF 6X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAM 12X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAM 12X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 15X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 15X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 15XM18X1.5;CONEXAO;;;;Analise Tecnica
700761;PORCA;;;;Analise Tecnica
980-006;REPARO;;;;Analise Tecnica
980-008;REPARO;;;;Analise Tecnica
980-011;REPARO;;;;Analise Tecnica
990-002;AMORTECEDOR;;;;Analise Tecnica
990-003;AMORTECEDOR;;;;Analise Tecnica
990-004;AMORTECEDOR;;;;Analise Tecnica
6802E-8S;ENGATE;;;;Analise Tecnica
68F 5/16X1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAF3 SM10X70;PARAFUSO;;;;Analise Tecnica
AAF3 SM10X80;PARAFUSO;;;;Analise Tecnica
AAF3 SM12X110;PARAFUSO;;;;Analise Tecnica
AABJO M26X1.5;CONEXAO;;;;Analise Tecnica
AABJO M27X2;CONEXAO;;;;Analise Tecnica
AABJO M33X2;CONEXAO;;;;Analise Tecnica
AABSI 1/8 NPT;CONEXAO;;;;Analise Tecnica
AABSI 2 BSP;CONEXAO;;;;Analise Tecnica
AABSI 2.1/2 UNF;CONEXAO;;;;Analise Tecnica
AAF3 S1/2x3;PARAFUSO;;;;Analise Tecnica
AAF3 SM12X35;PARAFUSO;;;;Analise Tecnica
AAF3 SM14X40;PARAFUSO;;;;Analise Tecnica
AAF3 SM6X30;PARAFUSO;;;;Analise Tecnica
AABJO M42X2;CONEXAO;;;;Analise Tecnica
AABJO M48X2;CONEXAO;;;;Analise Tecnica
AABJO M8X1;CONEXAO;;;;Analise Tecnica
AABSI 3/4 BSP;CONEXAO;;;;Analise Tecnica
AABSI 3/4 BSPT;CONEXAO;;;;Analise Tecnica
AABSI 3/4 NPT;CONEXAO;;;;Analise Tecnica
AAF3 2 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 2.1/2 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 SM6X40;PARAFUSO;;;;Analise Tecnica
AAF3 SM8X25;PARAFUSO;;;;Analise Tecnica
AAF3 SM8X50;PARAFUSO;;;;Analise Tecnica
AABJQ 1 BSPT;CONEXAO;;;;Analise Tecnica
AABJQ 1.1/2 BSPT;CONEXAO;;;;Analise Tecnica
AABJQ 1/4 BSP;CONEXAO;;;;Analise Tecnica
AABSI 3/4 UNF;CONEXAO;;;;Analise Tecnica
AABSI 3/8 BSP;CONEXAO;;;;Analise Tecnica
AABSI 3/8 BSPT;CONEXAO;;;;Analise Tecnica
AAF3 3 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 3/4 MEIA;CONEXAO;;;;Analise Tecnica
AABJQ 1/4 BSPT;CONEXAO;;;;Analise Tecnica
AABJQ 2 BSPT;CONEXAO;;;;Analise Tecnica
AABJQ 2.1/2 BSP;CONEXAO;;;;Analise Tecnica
AABSI 3/8 NPT;CONEXAO;;;;Analise Tecnica
